person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,extraction_date
23,48093,RENT,0.0,PERSONAL,D,10820,11.13,0,0.42,Y,3,2023-03-02
27,24874,RENT,6.0,HOMEIMPROVEMENT,C,26740,9.71,0,0.49,N,2,2023-03-02
30,20246,MORTGAGE,5.0,VENTURE,E,11564,12.8,1,0.42,Y,3,2023-03-02
25,87805,OWN,6.0,PERSONAL,A,10530,15.9,0,0.13,N,4,2023-03-02
29,57744,RENT,5.0,HOMEIMPROVEMENT,B,6001,14.46,0,0.5,N,4,2023-03-02
46,33658,OTHER,1.0,EDUCATION,C,21902,10.56,1,0.35,Y,3,2023-03-02
20,71267,OWN,2.0,MEDICAL,B,6490,16.29,0,0.17,N,4,2023-03-02
24,57447,RENT,9.0,VENTURE,A,23461,11.61,0,0.27,N,1,2023-03-02
25,105258,RENT,9.0,HOMEIMPROVEMENT,C,11261,14.1,1,0.33,Y,3,2023-03-02
21,141524,RENT,0.0,DEBTCONSOLIDATION,C,5827,7.43,1,0.08,N,3,2023-03-02
40,48784,MORTGAGE,1.0,MEDICAL,C,24899,9.31,1,0.03,N,5,2023-03-02
25,65795,OWN,4.0,EDUCATION,A,8096,10.45,0,0.21,N,4,2023-03-02
26,75131,RENT,2.0,EDUCATION,E,6583,,0,0.63,N,3,2023-03-02
22,75201,RENT,7.0,DEBTCONSOLIDATION,D,4134,10.0,0,0.47,Y,3,2023-03-02
36,51849,RENT,0.0,HOMEIMPROVEMENT,D,25709,13.14,1,0.4,Y,3,2023-03-02
28,86801,RENT,3.0,DEBTCONSOLIDATION,D,7476,7.59,1,0.42,N,5,2023-03-02
30,72963,RENT,3.0,MEDICAL,E,4811,14.83,1,0.41,N,3,2023-03-02
32,42319,OWN,5.0,VENTURE,B,7991,15.92,0,0.21,N,3,2023-03-02
27,32281,MORTGAGE,0.0,VENTURE,A,5646,15.77,1,0.07,N,4,2023-03-02
23,33239,OWN,9.0,EDUCATION,F,22322,7.04,0,0.08,Y,1,2023-03-02
26,56885,OWN,7.0,HOMEIMPROVEMENT,B,1287,,0,0.03,N,4,2023-03-02
24,62649,MORTGAGE,4.0,EDUCATION,D,10467,6.48,0,0.08,N,4,2023-03-02
30,105441,MORTGAGE,0.0,HOMEIMPROVEMENT,E,4517,7.96,1,0.06,N,2,2023-03-02
39,35900,RENT,0.0,PERSONAL,A,20064,8.12,0,0.37,N,4,2023-03-02
20,37611,RENT,9.0,MEDICAL,B,16454,17.08,0,0.38,N,3,2023-03-02
22,59241,RENT,9.0,DEBTCONSOLIDATION,A,15031,8.23,1,0.34,N,3,2023-03-02
30,97789,RENT,5.0,DEBTCONSOLIDATION,D,9416,10.72,1,0.38,Y,3,2023-03-02
22,60884,RENT,6.0,DEBTCONSOLIDATION,F,3563,14.28,0,0.38,Y,4,2023-03-02
26,68822,RENT,7.0,PERSONAL,C,2977,9.33,0,0.33,Y,4,2023-03-02
24,27319,RENT,,VENTURE,B,21104,15.09,0,0.31,N,2,2023-03-02
24,80889,RENT,11.0,EDUCATION,A,5306,,1,0.25,N,3,2023-03-02
24,50688,RENT,6.0,PERSONAL,C,3048,10.92,1,0.04,Y,2,2023-03-02
23,32078,RENT,4.0,VENTURE,B,5788,,1,0.07,N,2,2023-03-02
48,57638,OWN,4.0,PERSONAL,A,10370,8.5,1,0.13,N,5,2023-03-02
20,90792,RENT,2.0,PERSONAL,A,17631,10.34,0,0.23,N,4,2023-03-02
28,21711,OWN,0.0,VENTURE,E,24217,6.81,1,0.15,Y,3,2023-03-02
25,98756,RENT,6.0,VENTURE,A,13052,6.87,1,0.23,N,3,2023-03-02
24,43039,OWN,7.0,VENTURE,B,2578,11.77,1,0.04,N,1,2023-03-02
29,101980,MORTGAGE,10.0,EDUCATION,B,7879,15.88,1,0.04,N,4,2023-03-02
25,47200,MORTGAGE,1.0,MEDICAL,D,20923,10.13,0,0.1,N,2,2023-03-02
30,30995,RENT,0.0,EDUCATION,D,4314,12.56,0,0.42,N,3,2023-03-02
24,32496,MORTGAGE,1.0,EDUCATION,D,2838,14.04,0,0.13,Y,2,2023-03-02
44,56612,OWN,4.0,HOMEIMPROVEMENT,B,13781,14.32,1,0.11,N,2,2023-03-02
25,87623,MORTGAGE,7.0,HOMEIMPROVEMENT,D,4455,,0,0.08,Y,2,2023-03-02
32,53302,MORTGAGE,,EDUCATION,A,11668,11.36,1,0.04,N,3,2023-03-02
34,44148,RENT,6.0,MEDICAL,C,11539,11.05,0,0.1,N,5,2023-03-02
25,68706,OWN,1.0,MEDICAL,C,10657,,0,0.25,N,4,2023-03-02
35,93189,RENT,2.0,MEDICAL,A,5255,11.46,0,0.49,N,1,2023-03-02
23,53380,OWN,5.0,EDUCATION,C,9086,15.23,1,0.25,Y,2,2023-03-02
30,60683,RENT,13.0,EDUCATION,A,17115,16.71,1,0.43,N,3,2023-03-02
32,64750,RENT,0.0,VENTURE,A,1060,6.92,1,0.33,N,3,2023-03-02
24,32218,OWN,1.0,EDUCATION,A,8255,14.72,0,0.51,N,4,2023-03-02
42,58774,RENT,0.0,VENTURE,B,18282,,1,0.32,N,4,2023-03-02
28,120195,OWN,2.0,PERSONAL,C,9275,14.61,0,0.35,Y,5,2023-03-02
23,27788,OWN,1.0,DEBTCONSOLIDATION,A,4805,10.5,1,0.4,N,2,2023-03-02
26,55227,RENT,0.0,VENTURE,D,5541,11.29,1,0.34,Y,5,2023-03-02
34,74223,RENT,0.0,EDUCATION,C,10641,13.61,0,0.07,Y,4,2023-03-02
26,90723,RENT,12.0,VENTURE,C,27051,11.25,1,0.02,N,4,2023-03-02
33,59166,RENT,4.0,DEBTCONSOLIDATION,B,16937,11.51,0,0.28,N,2,2023-03-02
24,59487,RENT,3.0,EDUCATION,A,2335,9.38,0,0.25,N,2,2023-03-02
23,58248,OWN,11.0,DEBTCONSOLIDATION,A,3779,11.81,0,0.23,N,5,2023-03-02
21,48352,RENT,5.0,EDUCATION,B,5892,6.28,0,0.26,N,5,2023-03-02
40,48171,RENT,9.0,DEBTCONSOLIDATION,B,3043,18.45,1,0.19,N,2,2023-03-02
37,77085,RENT,1.0,HOMEIMPROVEMENT,A,5968,12.57,1,0.4,N,2,2023-03-02
24,75412,MORTGAGE,0.0,DEBTCONSOLIDATION,E,6099,,1,0.27,Y,3,2023-03-02
24,38557,RENT,3.0,EDUCATION,C,21991,7.56,1,0.39,Y,2,2023-03-02
39,39795,OWN,4.0,PERSONAL,B,13512,6.7,0,0.1,N,1,2023-03-02
25,75215,RENT,2.0,VENTURE,D,7672,8.81,1,0.37,Y,3,2023-03-02
25,106134,RENT,,PERSONAL,C,19478,13.97,0,0.33,Y,2,2023-03-02
22,65028,RENT,6.0,VENTURE,D,5103,,0,0.37,N,4,2023-03-02
32,55657,RENT,8.0,MEDICAL,B,25123,9.79,0,0.42,N,2,2023-03-02
24,35994,RENT,6.0,EDUCATION,B,13275,12.28,0,0.21,N,2,2023-03-02
24,61328,OWN,5.0,MEDICAL,C,5677,14.03,1,0.13,N,2,2023-03-02
22,34412,RENT,2.0,VENTURE,B,13012,10.62,0,0.42,N,4,2023-03-02
35,32341,MORTGAGE,4.0,MEDICAL,C,9527,13.5,0,0.09,Y,5,2023-03-02
28,34475,OWN,5.0,HOMEIMPROVEMENT,B,2245,21.96,1,0.09,N,3,2023-03-02
22,86937,MORTGAGE,3.0,HOMEIMPROVEMENT,B,6805,9.69,0,0.09,N,4,2023-03-02
22,43215,MORTGAGE,4.0,DEBTCONSOLIDATION,D,5682,,0,0.05,Y,2,2023-03-02
24,28581,MORTGAGE,3.0,MEDICAL,C,4682,11.08,1,0.11,Y,2,2023-03-02
24,23013,MORTGAGE,4.0,MEDICAL,C,9975,7.78,1,0.15,N,3,2023-03-02
30,70192,RENT,6.0,EDUCATION,B,30150,,1,0.3,N,4,2023-03-02
40,97222,MORTGAGE,0.0,PERSONAL,A,11699,,0,0.16,N,4,2023-03-02
25,41572,OWN,10.0,PERSONAL,C,4494,17.71,1,0.14,N,3,2023-03-02
28,66145,RENT,1.0,EDUCATION,C,4366,7.44,0,0.59,Y,3,2023-03-02
33,31667,RENT,1.0,HOMEIMPROVEMENT,D,10519,,0,0.61,N,2,2023-03-02
27,115837,OWN,7.0,DEBTCONSOLIDATION,C,2393,15.95,0,0.23,Y,3,2023-03-02
22,63804,MORTGAGE,0.0,HOMEIMPROVEMENT,B,5951,7.39,0,0.28,N,4,2023-03-02
31,129314,MORTGAGE,2.0,HOMEIMPROVEMENT,B,5395,7.41,0,0.09,N,3,2023-03-02
28,52579,MORTGAGE,1.0,HOMEIMPROVEMENT,E,11469,5.3,0,0.13,Y,1,2023-03-02
24,67047,MORTGAGE,7.0,EDUCATION,B,8514,11.0,1,0.16,N,3,2023-03-02
21,50566,RENT,3.0,MEDICAL,B,3415,10.76,0,0.03,N,4,2023-03-02
32,68843,MORTGAGE,4.0,DEBTCONSOLIDATION,B,2450,11.16,0,0.35,N,5,2023-03-02
29,61163,OWN,2.0,DEBTCONSOLIDATION,C,3454,,0,0.18,Y,1,2023-03-02
22,51782,RENT,2.0,MEDICAL,D,13119,9.95,1,0.6,Y,2,2023-03-02
28,78655,RENT,5.0,EDUCATION,B,3705,14.85,1,0.52,N,3,2023-03-02
41,59538,OWN,2.0,MEDICAL,D,1966,6.57,1,0.28,N,4,2023-03-02
37,44165,OWN,2.0,EDUCATION,B,31166,15.17,1,0.37,N,3,2023-03-02
40,274203,RENT,2.0,EDUCATION,E,10288,11.78,1,0.59,Y,3,2023-03-02
32,61153,RENT,0.0,EDUCATION,B,5994,13.48,1,0.51,N,3,2023-03-02
24,49054,MORTGAGE,11.0,VENTURE,F,9355,11.24,1,0.11,N,1,2023-03-02
28,26126,RENT,6.0,EDUCATION,A,18602,7.11,1,0.01,N,5,2023-03-02
24,46703,RENT,2.0,DEBTCONSOLIDATION,A,6428,9.65,1,0.03,N,2,2023-03-02
32,37361,MORTGAGE,,VENTURE,B,26004,6.14,1,0.11,N,3,2023-03-02
22,54951,RENT,5.0,PERSONAL,B,871,13.23,1,0.51,N,4,2023-03-02
25,137866,RENT,1.0,DEBTCONSOLIDATION,A,14843,13.56,1,0.5,N,3,2023-03-02
28,22374,RENT,1.0,HOMEIMPROVEMENT,A,25466,10.18,1,0.5,N,3,2023-03-02
27,46788,RENT,8.0,DEBTCONSOLIDATION,D,14726,8.04,1,0.57,N,1,2023-03-02
23,32215,RENT,2.0,VENTURE,B,8753,8.51,1,0.5,N,3,2023-03-02
20,46484,RENT,10.0,VENTURE,B,14133,7.85,1,0.5,N,1,2023-03-02
33,38111,RENT,2.0,VENTURE,C,15891,10.96,1,0.5,N,2,2023-03-02
23,65976,RENT,7.0,EDUCATION,B,8139,10.52,1,0.48,N,4,2023-03-02
25,28956,OWN,4.0,DEBTCONSOLIDATION,A,20549,7.66,1,0.38,N,4,2023-03-02
24,55411,MORTGAGE,6.0,EDUCATION,B,11259,,1,0.11,N,1,2023-03-02
20,30668,MORTGAGE,5.0,DEBTCONSOLIDATION,A,3926,15.14,1,0.1,N,3,2023-03-02
22,45649,MORTGAGE,3.0,EDUCATION,D,26858,8.28,1,0.12,N,2,2023-03-02
25,154689,MORTGAGE,4.0,EDUCATION,C,8177,,1,0.09,Y,2,2023-03-02
30,19967,MORTGAGE,4.0,MEDICAL,C,15606,,1,0.16,Y,2,2023-03-02
22,70351,MORTGAGE,4.0,EDUCATION,A,7302,,1,0.06,N,2,2023-03-02
22,78462,RENT,17.0,PERSONAL,C,11776,5.98,1,0.48,N,1,2023-03-02
21,60210,RENT,0.0,DEBTCONSOLIDATION,D,16115,9.7,1,0.54,N,4,2023-03-02
21,736940,RENT,3.0,EDUCATION,C,3545,5.93,1,0.47,Y,5,2023-03-02
42,74440,RENT,3.0,HOMEIMPROVEMENT,D,15038,7.82,1,0.53,Y,2,2023-03-02
26,36304,RENT,1.0,VENTURE,E,20325,11.91,1,0.53,N,3,2023-03-02
26,93683,MORTGAGE,7.0,EDUCATION,B,13654,12.57,1,0.11,N,4,2023-03-02
37,43813,OWN,1.0,VENTURE,C,23723,11.39,1,0.34,N,4,2023-03-02
27,241717,MORTGAGE,2.0,VENTURE,B,23310,11.52,1,0.08,N,4,2023-03-02
29,40093,OWN,3.0,PERSONAL,B,27690,11.92,1,0.1,N,4,2023-03-02
23,44839,RENT,0.0,VENTURE,F,8068,7.22,1,0.52,N,2,2023-03-02
27,48934,RENT,7.0,EDUCATION,B,3036,10.91,1,0.45,N,5,2023-03-02
28,66712,RENT,0.0,HOMEIMPROVEMENT,D,26043,5.87,1,0.45,Y,5,2023-03-02
28,109098,RENT,6.0,EDUCATION,B,1112,12.64,1,0.45,N,3,2023-03-02
25,59657,RENT,13.0,EDUCATION,D,5742,6.48,1,0.45,Y,4,2023-03-02
29,37770,RENT,1.0,PERSONAL,C,5915,7.38,1,0.45,Y,3,2023-03-02
39,88181,RENT,2.0,DEBTCONSOLIDATION,C,20767,19.89,1,0.45,N,1,2023-03-02
27,58811,OWN,2.0,MEDICAL,C,7964,12.26,1,0.1,N,2,2023-03-02
25,60511,MORTGAGE,4.0,EDUCATION,F,8496,9.0,1,0.12,Y,2,2023-03-02
32,10177,OWN,6.0,PERSONAL,E,7080,14.31,1,0.56,N,4,2023-03-02
24,28109,RENT,4.0,PERSONAL,B,12269,8.8,1,0.42,N,3,2023-03-02
29,44738,RENT,1.0,PERSONAL,B,2233,,1,0.42,N,3,2023-03-02
37,626267,RENT,5.0,DEBTCONSOLIDATION,D,4448,14.92,1,0.46,Y,3,2023-03-02
35,26339,OWN,1.0,DEBTCONSOLIDATION,D,6506,12.33,1,0.29,N,2,2023-03-02
24,45974,RENT,5.0,MEDICAL,B,13118,11.41,1,0.06,N,3,2023-03-02
26,103230,MORTGAGE,2.0,HOMEIMPROVEMENT,C,5815,14.9,1,0.06,N,2,2023-03-02
26,91105,MORTGAGE,6.0,EDUCATION,C,12205,5.97,1,0.08,N,3,2023-03-02
43,19998,RENT,6.0,HOMEIMPROVEMENT,E,7279,6.52,1,0.46,N,4,2023-03-02
27,275228,RENT,12.0,PERSONAL,C,3125,10.15,1,0.42,N,2,2023-03-02
30,53467,RENT,8.0,PERSONAL,B,7685,6.63,1,0.42,N,5,2023-03-02
37,78826,RENT,4.0,EDUCATION,B,7117,6.77,1,0.42,N,4,2023-03-02
25,81950,RENT,5.0,MEDICAL,C,7249,14.38,1,0.4,N,1,2023-03-02
28,27199,RENT,9.0,HOMEIMPROVEMENT,D,7370,,1,0.44,Y,2,2023-03-02
29,63158,MORTGAGE,,EDUCATION,A,4724,9.11,1,0.14,N,2,2023-03-02
25,44908,MORTGAGE,5.0,DEBTCONSOLIDATION,C,1930,,1,0.13,N,2,2023-03-02
23,144770,MORTGAGE,4.0,VENTURE,A,4970,5.9,1,0.12,N,3,2023-03-02
48,65346,MORTGAGE,7.0,EDUCATION,C,11409,7.5,1,0.07,N,2,2023-03-02
27,119119,MORTGAGE,7.0,DEBTCONSOLIDATION,B,3556,,1,0.08,N,2,2023-03-02
26,29239,RENT,0.0,EDUCATION,A,6398,14.35,1,0.05,N,4,2023-03-02
38,45172,RENT,0.0,EDUCATION,B,11204,,1,0.38,N,1,2023-03-02
22,104262,RENT,4.0,EDUCATION,C,2621,7.67,1,0.38,Y,4,2023-03-02
29,30936,MORTGAGE,8.0,DEBTCONSOLIDATION,A,16450,11.87,1,0.04,N,4,2023-03-02
26,41111,MORTGAGE,5.0,EDUCATION,B,6412,7.6,1,0.03,N,3,2023-03-02
24,36009,RENT,3.0,EDUCATION,D,5500,13.53,1,0.09,N,4,2023-03-02
27,47239,MORTGAGE,0.0,VENTURE,B,16905,11.07,1,0.06,N,2,2023-03-02
29,30434,MORTGAGE,0.0,PERSONAL,C,8898,15.7,1,0.12,N,3,2023-03-02
31,65243,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14139,12.24,1,0.1,N,3,2023-03-02
31,77119,RENT,6.0,DEBTCONSOLIDATION,E,5630,12.94,1,0.42,Y,2,2023-03-02
27,67070,OWN,7.0,HOMEIMPROVEMENT,B,12289,5.97,1,0.21,N,3,2023-03-02
30,47545,RENT,1.0,PERSONAL,D,8973,6.37,1,0.37,Y,1,2023-03-02
26,87367,RENT,19.0,EDUCATION,A,4857,14.11,1,0.37,N,3,2023-03-02
37,37768,RENT,,VENTURE,B,14026,7.74,1,0.37,N,4,2023-03-02
24,32658,RENT,3.0,PERSONAL,D,22413,,1,0.37,Y,2,2023-03-02
22,35446,RENT,5.0,PERSONAL,D,4327,9.45,1,0.36,N,2,2023-03-02
44,109838,MORTGAGE,2.0,EDUCATION,B,4990,,1,0.06,N,4,2023-03-02
39,36904,MORTGAGE,2.0,VENTURE,E,11238,13.47,1,0.11,N,1,2023-03-02
24,44011,MORTGAGE,2.0,PERSONAL,C,12333,13.55,1,0.01,N,3,2023-03-02
24,62456,RENT,2.0,EDUCATION,D,5477,12.38,1,0.36,N,2,2023-03-02
27,76653,OWN,10.0,MEDICAL,B,1448,14.59,1,0.28,N,3,2023-03-02
30,44888,RENT,7.0,EDUCATION,B,6227,10.4,1,0.36,N,4,2023-03-02
25,47149,OWN,8.0,PERSONAL,A,4976,7.34,1,0.42,N,2,2023-03-02
23,46951,RENT,4.0,MEDICAL,D,5368,16.42,1,0.38,N,4,2023-03-02
24,39247,RENT,2.0,VENTURE,D,11516,14.95,1,0.38,Y,3,2023-03-02
23,91650,RENT,2.0,HOMEIMPROVEMENT,B,12116,8.01,1,0.38,N,4,2023-03-02
29,29948,OWN,9.0,EDUCATION,A,10046,,1,0.37,N,3,2023-03-02
34,21152,RENT,10.0,MEDICAL,C,8225,8.96,1,0.34,N,2,2023-03-02
25,27443,RENT,9.0,MEDICAL,B,11896,14.47,1,0.34,N,2,2023-03-02
22,57613,RENT,3.0,DEBTCONSOLIDATION,B,2446,15.65,1,0.33,N,1,2023-03-02
28,90666,RENT,10.0,MEDICAL,C,2015,8.17,1,0.11,Y,1,2023-03-02
28,40394,MORTGAGE,8.0,VENTURE,A,11444,14.59,1,0.1,N,5,2023-03-02
23,35805,MORTGAGE,6.0,MEDICAL,B,3386,10.99,1,0.05,N,3,2023-03-02
26,31953,MORTGAGE,6.0,PERSONAL,A,4090,5.8,1,0.08,N,4,2023-03-02
47,78943,MORTGAGE,1.0,VENTURE,C,19163,6.24,1,0.05,N,4,2023-03-02
34,33375,RENT,,EDUCATION,B,2423,10.58,1,0.33,N,5,2023-03-02
22,60835,RENT,0.0,EDUCATION,D,4218,6.29,1,0.35,Y,3,2023-03-02
27,65569,MORTGAGE,16.0,VENTURE,B,6709,7.29,1,0.11,N,4,2023-03-02
21,113980,OWN,2.0,PERSONAL,B,2318,7.15,1,0.13,N,4,2023-03-02
43,31330,RENT,1.0,DEBTCONSOLIDATION,C,2194,15.7,1,0.32,Y,3,2023-03-02
22,133469,RENT,6.0,VENTURE,B,14042,15.8,1,0.32,N,4,2023-03-02
22,61597,RENT,5.0,VENTURE,B,15129,6.2,1,0.32,N,4,2023-03-02
24,80846,OWN,2.0,VENTURE,B,9921,,1,0.05,N,5,2023-03-02
19,53051,MORTGAGE,8.0,EDUCATION,B,6216,13.73,1,0.19,N,1,2023-03-02
36,86685,RENT,,VENTURE,C,3625,8.25,1,0.08,N,3,2023-03-02
25,67573,RENT,6.0,MEDICAL,D,23756,7.64,1,0.34,Y,1,2023-03-02
24,31506,RENT,4.0,VENTURE,D,11442,7.45,1,0.31,Y,1,2023-03-02
34,100821,OWN,9.0,VENTURE,C,8060,12.42,1,0.43,N,1,2023-03-02
25,131511,RENT,7.0,PERSONAL,D,14682,7.09,1,0.31,Y,2,2023-03-02
32,45940,RENT,3.0,EDUCATION,C,7022,10.01,1,0.31,N,3,2023-03-02
23,29070,MORTGAGE,2.0,MEDICAL,C,1474,11.75,1,0.1,N,3,2023-03-02
31,54635,RENT,6.0,EDUCATION,A,12421,,1,0.31,N,2,2023-03-02
20,74805,RENT,5.0,DEBTCONSOLIDATION,C,2668,11.74,1,0.31,N,5,2023-03-02
30,51272,RENT,1.0,MEDICAL,B,4700,14.75,1,0.14,N,2,2023-03-02
42,23749,OWN,7.0,PERSONAL,A,15598,13.35,1,0.03,N,1,2023-03-02
26,59965,RENT,6.0,HOMEIMPROVEMENT,D,1268,11.38,1,0.12,Y,5,2023-03-02
25,32059,OWN,0.0,EDUCATION,B,25126,12.0,1,0.01,N,3,2023-03-02
32,79299,MORTGAGE,,DEBTCONSOLIDATION,C,1160,12.44,1,0.12,Y,4,2023-03-02
25,97473,MORTGAGE,10.0,MEDICAL,B,4712,,1,0.11,N,3,2023-03-02
19,53567,MORTGAGE,7.0,EDUCATION,A,14875,15.08,1,0.01,N,3,2023-03-02
38,41906,MORTGAGE,0.0,PERSONAL,A,9548,12.02,1,0.08,N,4,2023-03-02
26,21400,RENT,8.0,DEBTCONSOLIDATION,E,5396,10.21,1,0.34,N,4,2023-03-02
24,97437,RENT,6.0,DEBTCONSOLIDATION,D,17899,14.3,1,0.34,Y,3,2023-03-02
25,37862,RENT,3.0,DEBTCONSOLIDATION,A,4054,8.5,1,0.31,N,3,2023-03-02
20,129890,RENT,5.0,MEDICAL,B,6173,11.33,1,0.31,N,4,2023-03-02
32,73692,RENT,5.0,VENTURE,B,3289,,1,0.3,N,3,2023-03-02
27,75354,RENT,2.0,EDUCATION,B,2200,,1,0.3,N,2,2023-03-02
27,52793,RENT,0.0,PERSONAL,D,15151,12.28,1,0.3,Y,3,2023-03-02
19,87419,RENT,3.0,EDUCATION,E,9829,7.98,1,0.1,Y,5,2023-03-02
26,51777,MORTGAGE,6.0,PERSONAL,A,9038,,1,0.16,N,2,2023-03-02
29,77711,OWN,3.0,HOMEIMPROVEMENT,E,12043,,1,0.28,N,3,2023-03-02
29,29891,OWN,4.0,PERSONAL,B,9989,9.75,1,0.15,N,3,2023-03-02
28,42124,RENT,7.0,PERSONAL,F,5232,8.87,1,0.3,N,4,2023-03-02
29,78812,RENT,4.0,MEDICAL,B,4998,12.25,1,0.29,N,4,2023-03-02
26,65225,MORTGAGE,3.0,VENTURE,B,8276,13.73,1,0.08,N,2,2023-03-02
23,47788,MORTGAGE,3.0,VENTURE,B,8682,7.9,1,0.07,N,4,2023-03-02
34,63857,MORTGAGE,7.0,MEDICAL,F,5536,16.43,1,0.06,N,4,2023-03-02
38,74232,MORTGAGE,3.0,DEBTCONSOLIDATION,C,21071,11.94,1,0.41,N,4,2023-03-02
30,45568,RENT,0.0,HOMEIMPROVEMENT,D,8030,11.55,1,0.29,N,3,2023-03-02
23,102542,RENT,8.0,VENTURE,E,10417,12.19,1,0.33,Y,4,2023-03-02
20,113040,RENT,1.0,DEBTCONSOLIDATION,D,13580,,1,0.33,N,4,2023-03-02
27,75474,RENT,1.0,MEDICAL,D,3194,9.86,1,0.32,Y,3,2023-03-02
29,20357,RENT,2.0,MEDICAL,B,24692,,1,0.28,N,3,2023-03-02
26,36405,OWN,8.0,HOMEIMPROVEMENT,A,4151,10.96,1,0.41,N,1,2023-03-02
22,97729,OWN,8.0,PERSONAL,B,7943,13.52,1,0.14,N,5,2023-03-02
38,84235,OWN,6.0,EDUCATION,B,6560,14.13,1,0.12,N,2,2023-03-02
20,55494,OWN,6.0,MEDICAL,C,5144,10.8,1,0.11,Y,3,2023-03-02
23,31853,OWN,10.0,HOMEIMPROVEMENT,A,8891,16.5,1,0.06,N,3,2023-03-02
22,99227,MORTGAGE,0.0,VENTURE,B,5575,13.34,1,0.06,N,1,2023-03-02
33,65012,OWN,3.0,MEDICAL,B,9445,13.54,1,0.3,N,3,2023-03-02
26,85090,RENT,1.0,VENTURE,D,6878,7.02,1,0.32,Y,2,2023-03-02
42,65018,RENT,3.0,MEDICAL,E,4348,9.91,1,0.32,Y,5,2023-03-02
22,25786,RENT,9.0,DEBTCONSOLIDATION,B,17772,6.21,1,0.28,N,2,2023-03-02
32,32505,RENT,0.0,DEBTCONSOLIDATION,D,6153,,1,0.32,Y,4,2023-03-02
26,91576,RENT,3.0,PERSONAL,C,6297,12.79,1,0.27,Y,2,2023-03-02
23,39911,RENT,,HOMEIMPROVEMENT,B,7417,16.43,1,0.27,N,2,2023-03-02
19,76189,RENT,6.0,VENTURE,C,10245,13.98,1,0.27,Y,5,2023-03-02
23,183161,RENT,2.0,VENTURE,D,2829,7.35,1,0.27,N,4,2023-03-02
31,24905,MORTGAGE,9.0,MEDICAL,C,9475,13.1,1,0.12,Y,3,2023-03-02
20,42637,RENT,2.0,MEDICAL,F,4675,10.76,1,0.3,Y,4,2023-03-02
22,40825,RENT,5.0,DEBTCONSOLIDATION,D,1629,,1,0.3,Y,2,2023-03-02
24,50572,MORTGAGE,2.0,VENTURE,A,15774,13.15,1,0.01,N,3,2023-03-02
26,94701,MORTGAGE,5.0,HOMEIMPROVEMENT,A,16453,12.41,1,0.05,N,2,2023-03-02
43,203163,MORTGAGE,4.0,EDUCATION,B,23747,8.0,1,0.1,N,3,2023-03-02
24,66503,MORTGAGE,,PERSONAL,B,22222,9.51,1,0.12,N,4,2023-03-02
27,70432,OWN,0.0,DEBTCONSOLIDATION,C,28517,10.79,1,0.27,N,5,2023-03-02
